Appt_Date,Appt_End,Appt_Start,Type,Division,Month,Day,Year
03/31/2015,13h 0m 0s,11h 30m 0s,A-T  Taping,Humanities,3,31,2015
03/30/2015,12h 0m 0s,11h 0m 0s,A-T  Taping,Science,3,30,2015
03/27/2015,12h 0m 0s,11h 0m 0s,A-T  Taping,Social Science,3,27,2015
03/27/2015,14h 0m 0s,13h 0m 0s,A-T  Taping,Humanities,3,27,2015
03/27/2015,12h 0m 0s,11h 0m 0s,A-T  Taping,Social Science,3,27,2015
03/25/2015,13h 0m 0s,12h 0m 0s,A-T  Taping,Humanities,3,25,2015
03/25/2015,10h 0m 0s,9h 0m 0s,A-T  Taping,Science,3,25,2015
03/25/2015,15h 0m 0s,14h 0m 0s,A-T  Taping,Science,3,25,2015
03/20/2015,15h 0m 0s,9h 30m 0s,A-T  Taping,Humanities,3,20,2015
03/12/2015,15h 0m 0s,13h 30m 0s,A-T  Taping,Science,3,12,2015
03/11/2015,16h 0m 0s,15h 0m 0s,A-T  Taping,Science,3,11,2015
03/11/2015,12h 0m 0s,11h 0m 0s,A-T  Taping,Science,3,11,2015
03/05/2015,16h 0m 0s,14h 30m 0s,A-T  Taping,Science,3,5,2015
03/05/2015,11h 0m 0s,8h 30m 0s,A-T  Taping,teaching fellows,3,5,2015
03/04/2015,12h 0m 0s,10h 0m 0s,A-T  Taping,Social Science,3,4,2015
03/03/2015,14h 30m 0s,13h 0m 0s,A-T  Taping,Science,3,3,2015
03/02/2015,11h 0m 0s,10h 0m 0s,A-T  Taping,Science,3,2,2015
02/26/2015,15h 0m 0s,13h 0m 0s,A-T  Taping,Social Science,2,26,2015
02/13/2015,11h 0m 0s,10h 0m 0s,A-T  Taping,misc lecture,2,13,2015
12/11/2014,16h 0m 0s,12h 30m 0s,A-T  Taping,Humanities,12,11,2014
12/10/2014,16h 0m 0s,12h 30m 0s,A-T  Taping,Humanities,12,10,2014
12/09/2014,16h 0m 0s,12h 30m 0s,A-T  Taping,Humanities,12,9,2014
12/09/2014,12h 0m 0s,9h 0m 0s,A-T  Taping,teaching fellows,12,9,2014
12/08/2014,11h 30m 0s,9h 0m 0s,A-T  Taping,teaching fellows,12,8,2014
12/05/2014,16h 0m 0s,13h 0m 0s,A-T  Taping,teaching fellows,12,5,2014
12/04/2014,14h 0m 0s,12h 30m 0s,A-T  Taping,Science,12,4,2014
12/03/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Social Science,12,3,2014
11/25/2014,17h 0m 0s,9h 0m 0s,A-T  Taping,misc lecture,11,25,2014
11/25/2014,13h 30m 0s,12h 30m 0s,A-T  Taping,Humanities,11,25,2014
11/20/2014,18h 0m 0s,17h 0m 0s,A-T  Taping,Humanities,11,20,2014
11/20/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Humanities,11,20,2014
11/19/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Humanities,11,19,2014
11/19/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Humanities,11,19,2014
11/19/2014,10h 0m 0s,9h 0m 0s,A-T  Taping,Science,11,19,2014
11/19/2014,19h 0m 0s,18h 0m 0s,A-T  Taping,Science,11,19,2014
11/19/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Science,11,19,2014
11/19/2014,16h 0m 0s,14h 0m 0s,A-T  Taping,Humanities,11,19,2014
11/18/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Social Science,11,18,2014
11/18/2014,13h 0m 0s,11h 0m 0s,A-T  Taping,Social Science,11,18,2014
11/18/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Humanities,11,18,2014
11/18/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Social Science,11,18,2014
11/17/2014,15h 0m 0s,13h 0m 0s,A-T  Taping,Social Science,11,17,2014
11/17/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Humanities,11,17,2014
11/14/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Science,11,14,2014
11/13/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Social Science,11,13,2014
11/13/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Social Science,11,13,2014
11/12/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Science,11,12,2014
11/12/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Social Science,11,12,2014
11/12/2014,14h 0m 0s,13h 0m 0s,A-T  Taping,Social Science,11,12,2014
11/07/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Humanities,11,7,2014
11/06/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Humanities,11,6,2014
11/06/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Humanities,11,6,2014
11/06/2014,13h 0m 0s,11h 30m 0s,A-T  Taping,Science,11,6,2014
11/05/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Social Science,11,5,2014
11/05/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Social Science,11,5,2014
11/05/2014,16h 0m 0s,15h 0m 0s,A-T  Taping,Social Science,11,5,2014
11/05/2014,16h 0m 0s,15h 0m 0s,A-T  Taping,Science,11,5,2014
11/04/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Science,11,4,2014
11/04/2014,16h 0m 0s,14h 0m 0s,A-T  Taping,Science,11,4,2014
11/04/2014,11h 30m 0s,10h 0m 0s,A-T  Taping,Humanities,11,4,2014
11/03/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Humanities,11,3,2014
11/03/2014,21h 0m 0s,19h 0m 0s,A-T  Taping,Science,11,3,2014
11/03/2014,19h 0m 0s,18h 0m 0s,A-T  Taping,Humanities,11,3,2014
10/31/2014,17h 0m 0s,9h 0m 0s,A-T  Taping,misc lecture,10,31,2014
10/31/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Social Science,10,31,2014
10/31/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Humanities,10,31,2014
10/30/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Humanities,10,30,2014
10/30/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Social Science,10,30,2014
10/30/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Social Science,10,30,2014
10/30/2014,16h 0m 0s,15h 0m 0s,A-T  Taping,Humanities,10,30,2014
10/30/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Humanities,10,30,2014
10/30/2014,14h 0m 0s,13h 0m 0s,A-T  Taping,Science,10,30,2014
10/29/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Science,10,29,2014
10/29/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Humanities,10,29,2014
10/29/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Science,10,29,2014
10/29/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Science,10,29,2014
10/28/2014,19h 0m 0s,18h 0m 0s,A-T  Taping,Science,10,28,2014
10/28/2014,14h 0m 0s,12h 0m 0s,A-T  Taping,Science,10,28,2014
10/28/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Humanities,10,28,2014
10/27/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Social Science,10,27,2014
10/24/2014,10h 0m 0s,9h 0m 0s,A-T  Taping,Humanities,10,24,2014
10/24/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Social Science,10,24,2014
10/24/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Humanities,10,24,2014
10/24/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Social Science,10,24,2014
10/23/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Social Science,10,23,2014
10/23/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Humanities,10,23,2014
10/23/2014,14h 0m 0s,13h 0m 0s,A-T  Taping,Social Science,10,23,2014
10/23/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Science,10,23,2014
10/22/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Science,10,22,2014
10/22/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Science,10,22,2014
10/22/2014,14h 0m 0s,13h 0m 0s,A-T  Taping,Social Science,10,22,2014
10/21/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Science,10,21,2014
10/21/2014,16h 0m 0s,14h 30m 0s,A-T  Taping,Science,10,21,2014
10/21/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Humanities,10,21,2014
10/21/2014,18h 0m 0s,17h 0m 0s,A-T  Taping,Humanities,10,21,2014
10/21/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Social Science,10,21,2014
10/20/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Humanities,10,20,2014
10/20/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Humanities,10,20,2014
10/20/2014,15h 0m 0s,13h 0m 0s,A-T  Taping,Social Science,10,20,2014
10/17/2014,16h 0m 0s,15h 0m 0s,A-T  Taping,Humanities,10,17,2014
10/17/2014,15h 0m 0s,14h 0m 0s,A-T  Taping,Humanities,10,17,2014
10/17/2014,14h 0m 0s,13h 0m 0s,A-T  Taping,Science,10,17,2014
10/17/2014,10h 0m 0s,9h 0m 0s,A-T  Taping,Science,10,17,2014
10/17/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Humanities,10,17,2014
10/17/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Social Science,10,17,2014
10/16/2014,17h 0m 0s,15h 0m 0s,A-T  Taping,Social Science,10,16,2014
10/16/2014,21h 0m 0s,19h 30m 0s,A-T  Taping,Science,10,16,2014
10/16/2014,11h 30m 0s,10h 0m 0s,A-T  Taping,Science,10,16,2014
10/16/2014,16h 0m 0s,14h 0m 0s,A-T  Taping,Social Science,10,16,2014
10/16/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,misc lecture,10,16,2014
10/15/2014,15h 0m 0s,13h 30m 0s,A-T  Taping,Science,10,15,2014
10/15/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Science,10,15,2014
10/15/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Social Science,10,15,2014
10/14/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Science,10,14,2014
10/14/2014,21h 0m 0s,19h 30m 0s,A-T  Taping,Science,10,14,2014
10/14/2014,19h 0m 0s,18h 0m 0s,A-T  Taping,Science,10,14,2014
10/14/2014,9h 30m 0s,8h 30m 0s,A-T  Taping,Social Science,10,14,2014
10/10/2014,15h 30m 0s,14h 30m 0s,A-T  Taping,Science,10,10,2014
10/09/2014,18h 0m 0s,15h 0m 0s,A-T  Taping,misc lecture,10,9,2014
10/08/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Science,10,8,2014
10/08/2014,17h 0m 0s,16h 0m 0s,A-T  Taping,Social Science,10,8,2014
10/07/2014,20h 30m 0s,19h 0m 0s,A-T  Taping,Science,10,7,2014
10/07/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Science,10,7,2014
10/06/2014,11h 0m 0s,10h 0m 0s,A-T  Taping,Humanities,10,6,2014
10/06/2014,16h 0m 0s,14h 30m 0s,A-T  Taping,Science,10,6,2014
10/06/2014,18h 0m 0s,17h 0m 0s,A-T  Taping,Science,10,6,2014
10/06/2014,14h 30m 0s,13h 0m 0s,A-T  Taping,Science,10,6,2014
10/03/2014,14h 30m 0s,13h 0m 0s,A-T  Taping,Science,10,3,2014
10/03/2014,13h 0m 0s,12h 0m 0s,A-T  Taping,Humanities,10,3,2014
10/02/2014,10h 0m 0s,8h 30m 0s,A-T  Taping,Science,10,2,2014
10/01/2014,14h 30m 0s,13h 0m 0s,A-T  Taping,Science,10,1,2014
10/01/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Humanities,10,1,2014
09/30/2014,20h 0m 0s,19h 0m 0s,A-T  Taping,Science,9,30,2014
09/26/2014,14h 30m 0s,13h 0m 0s,A-T  Taping,Science,9,26,2014
09/25/2014,16h 30m 0s,15h 0m 0s,A-T  Taping,Science,9,25,2014
09/25/2014,14h 0m 0s,13h 0m 0s,A-T  Taping,Social Science,9,25,2014
09/25/2014,16h 0m 0s,15h 0m 0s,A-T  Taping,Science,9,25,2014
09/25/2014,12h 0m 0s,11h 0m 0s,A-T  Taping,Social Science,9,25,2014
09/24/2014,20h 30m 0s,19h 0m 0s,A-T  Taping,Science,9,24,2014
09/24/2014,14h 30m 0s,13h 0m 0s,A-T  Taping,Science,9,24,2014
09/19/2014,14h 30m 0s,13h 0m 0s,A-T  Taping,Science,9,19,2014
09/18/2014,16h 30m 0s,15h 0m 0s,A-T  Taping,Science,9,18,2014
09/17/2014,14h 30m 0s,13h 0m 0s,A-T  Taping,Science,9,17,2014
09/16/2014,20h 30m 0s,19h 30m 0s,A-T  Taping,Science,9,16,2014
09/11/2014,18h 0m 0s,15h 30m 0s,A-T  Taping,misc lecture,9,11,2014
07/31/2014,12h 0m 0s,10h 0m 0s,A-T  Taping,Humanities,7,31,2014
07/30/2014,11h 30m 0s,9h 30m 0s,A-T  Taping,Science,7,30,2014
10/06/2014,,,camera loan,Social Science,10,6,2014
10/14/2014,,,camera loan,Science,10,14,2014
10/06/2014,,,camera loan,Science,10,6,2014
10/07/2014,,,camera loan,Humanities,10,7,2014
10/20/2014,,,camera loan,Humanities,10,20,2014
10/20/2014,,,camera loan,Humanities,10,20,2014
10/21/2014,,,camera loan,Humanities,10,21,2014
10/22/2014,,,camera loan,Humanities,10,22,2014
10/22/2014,,,camera loan,Humanities,10,22,2014
10/22/2014,,,camera loan,Humanities,10,22,2014
10/27/2014,,,camera loan,Humanities,10,27,2014
10/27/2014,,,camera loan,Humanities,10,27,2014
11/24/2014,,,camera loan,Humanities,11,24,2014
12/01/2014,,,camera loan,Humanities,12,1,2014
02/13/2015,,,camera loan,Humanities,2,13,2015
02/24/2015,,,camera loan,Social Science,2,24,2015
02/23/2015,,,camera loan,Social Science,2,23,2015
02/24/2015,,,camera loan,Social Science,2,24,2015
03/02/2015,,,camera loan,Humanities,3,2,2015
03/30/2015,,,camera loan,Humanities,3,30,2015
03/03/2015,,,camera loan,Social Science,3,3,2015
03/05/2015,,,camera loan,Social Science,3,5,2015
03/01/2015,,,camera loan,Social Science,3,1,2015
03/03/2015,,,camera loan,Social Science,3,3,2015
03/05/2015,,,camera loan,Social Science,3,5,2015
03/04/2015,,,camera loan,Humanities,3,4,2015
03/05/2015,,,camera loan,Social Science,3,5,2015
03/09/2015,,,camera loan,Social Science,3,9,2015
03/12/2015,,,camera loan,Science,3,12,2015
03/11/2015,,,camera loan,Humanities,3,11,2015
04/01/2015,,,camera loan,Humanities,4,1,2015
03/26/2015,,,camera loan,Social Science,3,26,2015
03/25/2015,,,camera loan,Science,3,25,2015
03/30/2015,,,camera loan,Humanities,3,30,2015
03/27/2015,16h 0m 0s,13h 0m 0s,G-P  Micro/Practice Teaching,Bok seminar,3,27,2015
03/25/2015,16h 30m 0s,15h 0m 0s,G-P  Micro/Practice Teaching,Bok seminar,3,25,2015
03/23/2015,16h 30m 0s,15h 0m 0s,G-P  Micro/Practice Teaching,Bok seminar,3,23,2015
02/25/2015,16h 30m 0s,15h 0m 0s,G-P  Micro/Practice Teaching,Bok seminar,2,25,2015
02/23/2015,16h 30m 0s,15h 0m 0s,G-P  Micro/Practice Teaching,Bok seminar,2,23,2015
02/23/2015,16h 30m 0s,15h 0m 0s,G-P  Micro/Practice Teaching,Bok seminar,2,23,2015
02/17/2015,11h 30m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Science,2,17,2015
02/17/2015,11h 30m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Science,2,17,2015
02/06/2015,15h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,2,6,2015
02/04/2015,10h 30m 0s,9h 0m 0s,G-P  Micro/Practice Teaching,Science,2,4,2015
02/03/2015,16h 30m 0s,14h 30m 0s,G-P  Micro/Practice Teaching,Science,2,3,2015
02/02/2015,14h 0m 0s,12h 0m 0s,G-P  Micro/Practice Teaching,Science,2,2,2015
01/30/2015,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,1,30,2015
01/30/2015,10h 30m 0s,9h 0m 0s,G-P  Micro/Practice Teaching,Science,1,30,2015
01/29/2015,17h 30m 0s,16h 0m 0s,G-P  Micro/Practice Teaching,Science,1,29,2015
01/15/2015,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,1,15,2015
01/14/2015,14h 0m 0s,12h 0m 0s,G-P  Micro/Practice Teaching,Science,1,14,2015
01/13/2015,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,1,13,2015
12/09/2014,11h 0m 0s,9h 0m 0s,G-P  Micro/Practice Teaching,Humanities,12,9,2014
12/04/2014,19h 0m 0s,17h 0m 0s,G-P  Micro/Practice Teaching,Humanities,12,4,2014
12/02/2014,19h 0m 0s,17h 0m 0s,G-P  Micro/Practice Teaching,Humanities,12,2,2014
11/25/2014,11h 0m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,11,25,2014
11/24/2014,16h 0m 0s,14h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,11,24,2014
11/20/2014,11h 0m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,11,20,2014
11/19/2014,16h 0m 0s,14h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,11,19,2014
11/18/2014,11h 30m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Science,11,18,2014
11/18/2014,11h 30m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Science,11,18,2014
11/18/2014,11h 0m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Humanities,11,18,2014
11/17/2014,16h 0m 0s,14h 30m 0s,G-P  Micro/Practice Teaching,Humanities,11,17,2014
11/04/2014,14h 30m 0s,12h 30m 0s,G-P  Micro/Practice Teaching,Science,11,4,2014
11/04/2014,14h 30m 0s,12h 30m 0s,G-P  Micro/Practice Teaching,Science,11,4,2014
10/23/2014,11h 0m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,10,23,2014
10/22/2014,16h 0m 0s,14h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,10,22,2014
10/21/2014,14h 30m 0s,12h 30m 0s,G-P  Micro/Practice Teaching,Science,10,21,2014
10/21/2014,14h 30m 0s,12h 30m 0s,G-P  Micro/Practice Teaching,Science,10,21,2014
10/21/2014,11h 0m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,10,21,2014
10/20/2014,16h 0m 0s,14h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,10,20,2014
10/14/2014,11h 30m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Science,10,14,2014
10/14/2014,11h 30m 0s,21h 30m 0s,G-P  Micro/Practice Teaching,Science,10,14,2014
10/07/2014,14h 30m 0s,12h 30m 0s,G-P  Micro/Practice Teaching,Science,10,7,2014
10/07/2014,14h 30m 0s,12h 30m 0s,G-P  Micro/Practice Teaching,Science,10,7,2014
10/02/2014,11h 0m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,10,2,2014
10/01/2014,16h 0m 0s,14h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,10,1,2014
09/30/2014,11h 0m 0s,9h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,9,30,2014
09/29/2014,16h 0m 0s,14h 30m 0s,G-P  Micro/Practice Teaching,Bok seminar,9,29,2014
09/12/2014,13h 0m 0s,11h 0m 0s,G-P  Micro/Practice Teaching,Science,9,12,2014
09/12/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,9,12,2014
09/12/2014,16h 0m 0s,14h 0m 0s,G-P  Micro/Practice Teaching,Science,9,12,2014
09/09/2014,13h 0m 0s,11h 0m 0s,G-P  Micro/Practice Teaching,Science,9,9,2014
09/05/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,9,5,2014
09/05/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,9,5,2014
09/04/2014,18h 0m 0s,16h 0m 0s,G-P  Micro/Practice Teaching,Science,9,4,2014
09/04/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,9,4,2014
09/03/2014,15h 0m 0s,13h 0m 0s,G-P  Micro/Practice Teaching,Science,9,3,2014
09/03/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,9,3,2014
09/02/2014,16h 0m 0s,14h 0m 0s,G-P  Micro/Practice Teaching,Science,9,2,2014
08/19/2014,16h 0m 0s,13h 0m 0s,G-P  Micro/Practice Teaching,Science,8,19,2014
08/19/2014,13h 0m 0s,9h 0m 0s,G-P  Micro/Practice Teaching,Science,8,19,2014
08/15/2014,12h 30m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,8,15,2014
07/31/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,7,31,2014
07/29/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,7,29,2014
07/24/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,7,24,2014
07/22/2014,12h 0m 0s,10h 0m 0s,G-P  Micro/Practice Teaching,Science,7,22,2014
07/18/2014,16h 0m 0s,13h 0m 0s,G-P  Micro/Practice Teaching,Bok seminar,7,18,2014